seqno,filename,duration
1,Liebherr,1
2,Gov,1
3,Ganten,1
4,(ENG) Frankfurt,1
5,App,1
6,FFTT,1
7,ITTF,1
8,Occ,1
9,Tibhar,1
10,(FR) Frankfurt,1
11,CHMP_POINT,6
12,GM_POINT,6
13,Home Look,60
14,Infinity_MPL,1
15,MATCH_POINT,6
16,Montpellier,1
17,Socials,1
18,TO,63
19,WINAMAX,1
20,WS,1
21,all-adv,1
22,default,1
23,winner,63
